mCA,GRID,lower s,upper s,lower mu,upper mu
10p=,50,0.105,0.5,6.00E-11,1.00E-09
10q=,50,0.105,0.145,3.00E-10,2.50E-09
11=,50,0.07,0.5,1.00E-11,2.00E-09
11p=,50,0.12,0.1475,2.30E-09,7.00E-09
11q=,50,0.115,0.14,2.00E-09,6.00E-09
12=,50,0.01,0.5,3.00E-12,3.00E-07
12p=,50,0.1,0.18,8.00E-11,2.30E-09
12q=,50,0.11,0.16,8.00E-10,3.30E-09
13q=,50,0.12,0.1425,2.00E-09,6.00E-09
14q=,50,0.12,0.136,3.00E-09,7.00E-09
15q=,50,0.1025,0.12,3.00E-09,9.00E-09
16=,50,0.08,0.16,9.00E-11,4.00E-09
16p=,50,0.11,0.1375,1.30E-09,6.00E-09
16q=,50,0.1025,0.13,1.00E-09,5.00E-09
17=,50,0.01,0.5,5.00E-12,1.00E-08
17p=,50,0.115,0.165,3.00E-10,3.00E-09
17q=,50,0.1125,0.1375,2.00E-09,5.30E-09
18p=,50,0.07,0.5,1.00E-11,8.00E-09
18q=,50,0.1,0.145,4.00E-10,3.00E-09
19p=,50,0.1,0.13,1.00E-09,5.00E-09
19q=,50,0.11,0.14,1.00E-09,4.30E-09
20=,50,0.09,0.5,7.00E-12,6.00E-10
20p=,50,0.09,0.17,1.00E-10,3.00E-09
20q=,50,0.11,0.14,8.00E-10,3.00E-09
21q=,50,0.1,0.13,1.00E-09,5.00E-09
22q=,50,0.13,0.1625,1.20E-09,4.30E-09
X-,50,0.116,0.1205,1.10E-07,1.33E-07
Y-,50,0.1305,0.133,8.00E-07,9.20E-07
